CONSULADO,Continente,Pais,Cidade,PT_MAI_12,PT_MAI_13,PT_MAI_14,PT_MAI_15,PT_MAI_16,PT_MAI_17,PT_MAI_18,PT_MAI_19,PT_MAI_20,PT_MAI_21
810201,EUROPA,ALEMANHA,BERLIM,178.0,204.0,294.0,488,527.0,571,4973,4610,4901,5236.0
810202,EUROPA,ALEMANHA,DUSSELDORF,2991.0,2983.0,4522.0,4657,4644.0,4580,23757,25214,26285,26813.0
810203,EUROPA,ALEMANHA,ESTUGARDA,2906.0,2784.0,4199.0,4510,4567.0,4538,35180,35308,33842,30553.0
810204,EUROPA,ALEMANHA,FRANKFURT,1709.0,1603.0,,,,,,,,
810205,EUROPA,ALEMANHA,HAMBURGO,2514.0,4613.0,6800.0,7553,8433.0,8744,14316,13948,13978,14011.0
810206,EUROPA,ALEMANHA,OSNABRUCK,3483.0,3178.0,,,,,,,,
810301,EUROPA,ÁUSTRIA,VIENA,110.0,109.0,133.0,185,188.0,196,1479,1695,1824,1814.0
810401,EUROPA,BÉLGICA,BRUXELAS,2443.0,2355.0,2379.0,2549,2526.0,2436,20143,19121,18962,18254.0
810501,EUROPA,BULGÁRIA,SÓFIA,12.0,11.0,11.0,18,18.0,23,159,193,203,236.0
810601,EUROPA,CHÉQUIA,PRAGA,14.0,15.0,19.0,46,41.0,42,281,395,473,567.0
810701,EUROPA,DINAMARCA,COPENHAGUE,139.0,138.0,129.0,211,233.0,274,970,1323,1567,1901.0
810801,EUROPA,ESPANHA,BARCELONA,1685.0,886.0,984.0,1196,1385.0,1565,10073,10755,11787,12563.0
810803,EUROPA,ESPANHA,MADRID,1114.0,1094.0,1127.0,1313,1455.0,1506,15920,17075,17766,18157.0
810804,EUROPA,ESPANHA,VIGO,1983.0,2100.0,2191.0,2274,2456.0,2527,6842,7074,7354,7123.0
810805,EUROPA,ESPANHA,SEVILHA,265.0,396.0,581.0,1308,1518.0,1569,5097,5139,5154,5102.0
810901,EUROPA,FINLÂNDIA,HELSÍNQUIA,78.0,85.0,92.0,140,132.0,125,275,402,465,586.0
811002,EUROPA,FRANÇA,BORDÉUS,4028.0,4796.0,5400.0,6532,6419.0,6335,28758,29845,30760,30472.0
811004,EUROPA,FRANÇA,ESTRASBURGO,2764.0,2768.0,2707.0,2657,2603.0,2554,20869,20645,20262,19225.0
811006,EUROPA,FRANÇA,LYON,14965.0,14346.0,13789.0,13489,13041.0,12596,57028,56953,58865,58012.0
811007,EUROPA,FRANÇA,MARSELHA,630.0,615.0,609.0,780,1500.0,1905,31878,34572,35906,36081.0
811012,EUROPA,FRANÇA,PARIS,34372.0,33363.0,31965.0,31473,30266.0,29040,251059,248516,247681,234821.0
811015,EUROPA,FRANÇA,TOULOUSE,3276.0,3837.0,4094.0,4344,4427.0,4335,18633,19581,20586,20980.0
811101,EUROPA,GRÉCIA,ATENAS,54.0,54.0,55.0,57,51.0,50,100,179,210,300.0
811201,EUROPA,PAÍSES BAIXOS,HAIA,1173.0,1217.0,1190.0,1338,1496.0,1562,11380,12864,13678,15030.0
811301,EUROPA,HUNGRIA,BUDAPESTE,24.0,23.0,21.0,34,31.0,30,141,192,212,225.0
811401,EUROPA,IRLANDA,DUBLIN,52.0,54.0,86.0,218,250.0,270,3564,3999,4254,4717.0
811502,EUROPA,ITÁLIA,ROMA,703.0,681.0,658.0,672,669.0,661,2654,2967,3141,3331.0
811601,EUROPA,SÉRVIA,BELGRADO,2.0,2.0,2.0,2,2.0,2,38,41,69,101.0
811701,EUROPA,LUXEMBURGO,LUXEMBURGO,1819.0,1733.0,1796.0,2027,2137.0,2163,48632,46184,44265,40321.0
811801,EUROPA,NORUEGA,OSLO,122.0,118.0,135.0,237,250.0,242,2693,2911,2999,3191.0
811901,EUROPA,POLÓNIA,VARSÓVIA,98.0,110.0,107.0,133,124.0,132,571,734,820,959.0
812001,EUROPA,REINO UNIDO DA GRÃ-BRETANHA E IRLANDA DO NORTE,LONDRES,1070.0,1061.0,1078.0,1503,1616.0,1734,87823,97792,105446,118153.0
812002,EUROPA,REINO UNIDO DA GRÃ-BRETANHA E IRLANDA DO NORTE,MANCHESTER,265.0,314.0,393.0,1002,1157.0,1239,30055,32929,35431,38553.0
812101,EUROPA,ROMÉNIA,BUCARESTE,12.0,10.0,7.0,32,32.0,34,654,733,750,824.0
812201,EUROPA,SUÉCIA,ESTOCOLMO,270.0,286.0,369.0,496,595.0,694,1500,1834,2006,2230.0
812301,EUROPA,FEDERAÇÃO DA RÚSSIA,MOSCOVO,7.0,6.0,9.0,27,37.0,33,144,178,192,251.0
813001,EUROPA,SUÍÇA,BERNA,1078.0,1050.0,1086.0,1170,1273.0,1300,30258,29097,27930,25614.0
813002,EUROPA,SUÍÇA,GENEBRA,6872.0,7212.0,7130.0,7314,7323.0,7194,69950,70989,73688,75536.0
813003,EUROPA,SUÍÇA,ZURIQUE,2005.0,2055.0,2240.0,2603,3027.0,3176,47000,47319,48322,48671.0
813401,EUROPA,UCRÂNIA,KIEV,1.0,1.0,1.0,1,1.0,1,74,74,85,106.0
814401,EUROPA,ESLOVÁQUIA,BRATISLAVA,4.0,4.0,,,,,,,,
814601,EUROPA,CROÁCIA,ZAGREBE,1.0,1.0,1.0,12,8.0,7,26,34,39,52.0
814701,EUROPA,ESLOVÉNIA,LIUBLIANA,12.0,11.0,,,,,,,,
814901,EUROPA,TURQUIA,ANKARA,6.0,2.0,24.0,90,70.0,55,1081,1741,2191,3027.0
815001,EUROPA,CHIPRE,NICÓSIA,8.0,5.0,5.0,15,25.0,33,162,198,229,258.0
910101,ÁFRICA,ÁFRICA DO SUL,CAPE TOWN,1287.0,1266.0,1207.0,1202,1170.0,1128,5654,5512,5397,4958.0
910103,ÁFRICA,ÁFRICA DO SUL,JOANESBURGO,4723.0,5076.0,6364.0,6584,6513.0,6246,23490,25635,26688,26571.0
910104,ÁFRICA,ÁFRICA DO SUL,PRETÓRIA,740.0,711.0,690.0,729,689.0,661,3391,3243,3175,2866.0
910201,ÁFRICA,ANGOLA,LUANDA,508.0,461.0,430.0,547,508.0,451,17166,16354,15848,15062.0
910202,ÁFRICA,ANGOLA,BENGUELA,267.0,243.0,223.0,215,201.0,188,2922,2944,3061,3092.0
910301,ÁFRICA,ARGÉLIA,ARGEL,1.0,,,8,6.0,4,53,40,33,24.0
910401,ÁFRICA,CABO VERDE,PRAIA,541.0,552.0,521.0,650,637.0,597,2733,3519,4023,4754.0
