MAI_code,ISO_code,Continente,Pais,Cidade,PT_MAI_12,PT_MAI_13,PT_MAI_14,PT_MAI_15,PT_MAI_16,PT_MAI_17,PT_MAI_18,PT_MAI_19,PT_MAI_20,PT_MAI_21
810201,DEU,EUROPA,ALEMANHA,BERLIM,178.0,204.0,294.0,488.0,527.0,571.0,4973.0,4610.0,4901.0,5236.0
810202,DEU,EUROPA,ALEMANHA,DUSSELDORF,2991.0,2983.0,4522.0,4657.0,4644.0,4580.0,23757.0,25214.0,26285.0,26813.0
810203,DEU,EUROPA,ALEMANHA,ESTUGARDA,2906.0,2784.0,4199.0,4510.0,4567.0,4538.0,35180.0,35308.0,33842.0,30553.0
810204,DEU,EUROPA,ALEMANHA,FRANKFURT,1709.0,1603.0,,,,,,,,
810205,DEU,EUROPA,ALEMANHA,HAMBURGO,2514.0,4613.0,6800.0,7553.0,8433.0,8744.0,14316.0,13948.0,13978.0,14011.0
810206,DEU,EUROPA,ALEMANHA,OSNABRUCK,3483.0,3178.0,,,,,,,,
810301,AUT,EUROPA,ÁUSTRIA,VIENA,110.0,109.0,133.0,185.0,188.0,196.0,1479.0,1695.0,1824.0,1814.0
810401,BEL,EUROPA,BÉLGICA,BRUXELAS,2443.0,2355.0,2379.0,2549.0,2526.0,2436.0,20143.0,19121.0,18962.0,18254.0
810501,BGR,EUROPA,BULGÁRIA,SÓFIA,12.0,11.0,11.0,18.0,18.0,23.0,159.0,193.0,203.0,236.0
810601,CZE,EUROPA,CHÉQUIA,PRAGA,14.0,15.0,19.0,46.0,41.0,42.0,281.0,395.0,473.0,567.0
810701,DNK,EUROPA,DINAMARCA,COPENHAGUE,139.0,138.0,129.0,211.0,233.0,274.0,970.0,1323.0,1567.0,1901.0
810801,ESP,EUROPA,ESPANHA,BARCELONA,1685.0,886.0,984.0,1196.0,1385.0,1565.0,10073.0,10755.0,11787.0,12563.0
810803,ESP,EUROPA,ESPANHA,MADRID,1114.0,1094.0,1127.0,1313.0,1455.0,1506.0,15920.0,17075.0,17766.0,18157.0
810804,ESP,EUROPA,ESPANHA,VIGO,1983.0,2100.0,2191.0,2274.0,2456.0,2527.0,6842.0,7074.0,7354.0,7123.0
810805,ESP,EUROPA,ESPANHA,SEVILHA,265.0,396.0,581.0,1308.0,1518.0,1569.0,5097.0,5139.0,5154.0,5102.0
810901,FIN,EUROPA,FINLÂNDIA,HELSÍNQUIA,78.0,85.0,92.0,140.0,132.0,125.0,275.0,402.0,465.0,586.0
811002,FRA,EUROPA,FRANÇA,BORDÉUS,4028.0,4796.0,5400.0,6532.0,6419.0,6335.0,28758.0,29845.0,30760.0,30472.0
811004,FRA,EUROPA,FRANÇA,ESTRASBURGO,2764.0,2768.0,2707.0,2657.0,2603.0,2554.0,20869.0,20645.0,20262.0,19225.0
811006,FRA,EUROPA,FRANÇA,LYON,14965.0,14346.0,13789.0,13489.0,13041.0,12596.0,57028.0,56953.0,58865.0,58012.0
811007,FRA,EUROPA,FRANÇA,MARSELHA,630.0,615.0,609.0,780.0,1500.0,1905.0,31878.0,34572.0,35906.0,36081.0
811012,FRA,EUROPA,FRANÇA,PARIS,34372.0,33363.0,31965.0,31473.0,30266.0,29040.0,251059.0,248516.0,247681.0,234821.0
811015,FRA,EUROPA,FRANÇA,TOULOUSE,3276.0,3837.0,4094.0,4344.0,4427.0,4335.0,18633.0,19581.0,20586.0,20980.0
811101,GRC,EUROPA,GRÉCIA,ATENAS,54.0,54.0,55.0,57.0,51.0,50.0,100.0,179.0,210.0,300.0
811201,NLD,EUROPA,PAÍSES BAIXOS,HAIA,1173.0,1217.0,1190.0,1338.0,1496.0,1562.0,11380.0,12864.0,13678.0,15030.0
811301,HUN,EUROPA,HUNGRIA,BUDAPESTE,24.0,23.0,21.0,34.0,31.0,30.0,141.0,192.0,212.0,225.0
811401,IRL,EUROPA,IRLANDA,DUBLIN,52.0,54.0,86.0,218.0,250.0,270.0,3564.0,3999.0,4254.0,4717.0
811502,ITA,EUROPA,ITÁLIA,ROMA,703.0,681.0,658.0,672.0,669.0,661.0,2654.0,2967.0,3141.0,3331.0
811601,SRB,EUROPA,SÉRVIA,BELGRADO,2.0,2.0,2.0,2.0,2.0,2.0,38.0,41.0,69.0,101.0
811701,LUX,EUROPA,LUXEMBURGO,LUXEMBURGO,1819.0,1733.0,1796.0,2027.0,2137.0,2163.0,48632.0,46184.0,44265.0,40321.0
811801,NOR,EUROPA,NORUEGA,OSLO,122.0,118.0,135.0,237.0,250.0,242.0,2693.0,2911.0,2999.0,3191.0
811901,POL,EUROPA,POLÓNIA,VARSÓVIA,98.0,110.0,107.0,133.0,124.0,132.0,571.0,734.0,820.0,959.0
812001,GBR,EUROPA,REINO UNIDO DA GRÃ-BRETANHA E IRLANDA DO NORTE,LONDRES,1070.0,1061.0,1078.0,1503.0,1616.0,1734.0,87823.0,97792.0,105446.0,118153.0
812002,GBR,EUROPA,REINO UNIDO DA GRÃ-BRETANHA E IRLANDA DO NORTE,MANCHESTER,265.0,314.0,393.0,1002.0,1157.0,1239.0,30055.0,32929.0,35431.0,38553.0
812101,ROU,EUROPA,ROMÉNIA,BUCARESTE,12.0,10.0,7.0,32.0,32.0,34.0,654.0,733.0,750.0,824.0
812201,SWE,EUROPA,SUÉCIA,ESTOCOLMO,270.0,286.0,369.0,496.0,595.0,694.0,1500.0,1834.0,2006.0,2230.0
812301,RUS,EUROPA,FEDERAÇÃO DA RÚSSIA,MOSCOVO,7.0,6.0,9.0,27.0,37.0,33.0,144.0,178.0,192.0,251.0
813001,CHE,EUROPA,SUÍÇA,BERNA,1078.0,1050.0,1086.0,1170.0,1273.0,1300.0,30258.0,29097.0,27930.0,25614.0
813002,CHE,EUROPA,SUÍÇA,GENEBRA,6872.0,7212.0,7130.0,7314.0,7323.0,7194.0,69950.0,70989.0,73688.0,75536.0
813003,CHE,EUROPA,SUÍÇA,ZURIQUE,2005.0,2055.0,2240.0,2603.0,3027.0,3176.0,47000.0,47319.0,48322.0,48671.0
813401,UKR,EUROPA,UCRÂNIA,KIEV,1.0,1.0,1.0,1.0,1.0,1.0,74.0,74.0,85.0,106.0
814401,SVK,EUROPA,ESLOVÁQUIA,BRATISLAVA,4.0,4.0,,,,,,,,
814601,HRV,EUROPA,CROÁCIA,ZAGREBE,1.0,1.0,1.0,12.0,8.0,7.0,26.0,34.0,39.0,52.0
814701,SVN,EUROPA,ESLOVÉNIA,LIUBLIANA,12.0,11.0,,,,,,,,
814901,TUR,EUROPA,TURQUIA,ANKARA,6.0,2.0,24.0,90.0,70.0,55.0,1081.0,1741.0,2191.0,3027.0
815001,CYP,EUROPA,CHIPRE,NICÓSIA,8.0,5.0,5.0,15.0,25.0,33.0,162.0,198.0,229.0,258.0
910101,ZAF,ÁFRICA,ÁFRICA DO SUL,CAPE TOWN,1287.0,1266.0,1207.0,1202.0,1170.0,1128.0,5654.0,5512.0,5397.0,4958.0
910103,ZAF,ÁFRICA,ÁFRICA DO SUL,JOANESBURGO,4723.0,5076.0,6364.0,6584.0,6513.0,6246.0,23490.0,25635.0,26688.0,26571.0
910104,ZAF,ÁFRICA,ÁFRICA DO SUL,PRETÓRIA,740.0,711.0,690.0,729.0,689.0,661.0,3391.0,3243.0,3175.0,2866.0
910201,AGO,ÁFRICA,ANGOLA,LUANDA,508.0,461.0,430.0,547.0,508.0,451.0,17166.0,16354.0,15848.0,15062.0
910202,AGO,ÁFRICA,ANGOLA,BENGUELA,267.0,243.0,223.0,215.0,201.0,188.0,2922.0,2944.0,3061.0,3092.0
910301,DZA,ÁFRICA,ARGÉLIA,ARGEL,1.0,,,8.0,6.0,4.0,53.0,40.0,33.0,24.0
910401,CPV,ÁFRICA,CABO VERDE,PRAIA,541.0,552.0,521.0,650.0,637.0,597.0,2733.0,3519.0,4023.0,4754.0
