MAI_code,ISO_code,Continente,Pais,PT_MAI_12,PT_MAI_13,PT_MAI_14,PT_MAI_15,PT_MAI_16,PT_MAI_17,PT_MAI_18,PT_MAI_19,PT_MAI_20,PT_MAI_21,N_Consulados
8102,DEU,EUROPA,ALEMANHA,13781.0,15365.0,15815.0,17208.0,18171.0,18433.0,78226.0,79080.0,79006.0,76613.0,6
8103,AUT,EUROPA,ÁUSTRIA,110.0,109.0,133.0,185.0,188.0,196.0,1479.0,1695.0,1824.0,1814.0,1
8104,BEL,EUROPA,BÉLGICA,2443.0,2355.0,2379.0,2549.0,2526.0,2436.0,20143.0,19121.0,18962.0,18254.0,1
8105,BGR,EUROPA,BULGÁRIA,12.0,11.0,11.0,18.0,18.0,23.0,159.0,193.0,203.0,236.0,1
8106,CZE,EUROPA,CHÉQUIA,14.0,15.0,19.0,46.0,41.0,42.0,281.0,395.0,473.0,567.0,1
8107,DNK,EUROPA,DINAMARCA,139.0,138.0,129.0,211.0,233.0,274.0,970.0,1323.0,1567.0,1901.0,1
8108,ESP,EUROPA,ESPANHA,5047.0,4476.0,4883.0,6091.0,6814.0,7167.0,37932.0,40043.0,42061.0,42945.0,4
8109,FIN,EUROPA,FINLÂNDIA,78.0,85.0,92.0,140.0,132.0,125.0,275.0,402.0,465.0,586.0,1
8110,FRA,EUROPA,FRANÇA,60035.0,59725.0,58564.0,59275.0,58256.0,56765.0,408225.0,410112.0,414060.0,399591.0,6
8111,GRC,EUROPA,GRÉCIA,54.0,54.0,55.0,57.0,51.0,50.0,100.0,179.0,210.0,300.0,1
8112,NLD,EUROPA,PAÍSES BAIXOS,1173.0,1217.0,1190.0,1338.0,1496.0,1562.0,11380.0,12864.0,13678.0,15030.0,1
8113,HUN,EUROPA,HUNGRIA,24.0,23.0,21.0,34.0,31.0,30.0,141.0,192.0,212.0,225.0,1
8114,IRL,EUROPA,IRLANDA,52.0,54.0,86.0,218.0,250.0,270.0,3564.0,3999.0,4254.0,4717.0,1
8115,ITA,EUROPA,ITÁLIA,703.0,681.0,658.0,672.0,669.0,661.0,2654.0,2967.0,3141.0,3331.0,1
8116,SRB,EUROPA,SÉRVIA,2.0,2.0,2.0,2.0,2.0,2.0,38.0,41.0,69.0,101.0,1
