Ano,Eleição,MAI_code,ISO_code,index,Continente,Pais,Consulado,Inscritos,Votantes,Nulos
2022,AR,810201,DEU,0,Europa,Alemanha,Berlim,5231,1012,187
2021,PR,810201,DEU,1,Europa,Alemanha,Berlim,4901,656,1
2019,EUR,810201,DEU,2,Europa,Alemanha,Berlim,4379,324,1
2016,PR,810201,DEU,3,Europa,Alemanha,Berlim,488,196,0
2014,EUR,810201,DEU,4,Europa,Alemanha,Berlim,174,48,1
2011,PR,810201,DEU,5,Europa,Alemanha,Berlim,164,60,0
2022,AR,810202,DEU,6,Europa,Alemanha,Dusseldorf,26597,3504,859
2021,PR,810202,DEU,7,Europa,Alemanha,Dusseldorf,26285,401,1
2019,AR,810202,DEU,8,Europa,Alemanha,Dusseldorf,24430,3039,679
2019,EUR,810202,DEU,9,Europa,Alemanha,Dusseldorf,23126,185,1
2016,PR,810202,DEU,10,Europa,Alemanha,Dusseldorf,4657,175,1
2015,AR,810202,DEU,11,Europa,Alemanha,Consulado de Dusseldorf,3538,764,0
2014,EUR,810202,DEU,12,Europa,Alemanha,Dusseldorf,4019,60,1
2011,PR,810202,DEU,13,Europa,Alemanha,Dusseldorf,3091,183,1
2009,EUR,810202,DEU,14,Europa,Alemanha,Dusseldorf,2978,102,0
2022,AR,810203,DEU,15,Europa,Alemanha,Estugarda,30342,4613,905
2021,PR,810203,DEU,16,Europa,Alemanha,Estugarda,33842,395,0
2019,EUR,810203,DEU,17,Europa,Alemanha,Estugarda,35131,208,0
2016,PR,810203,DEU,18,Europa,Alemanha,Estugarda,4510,237,0
2014,EUR,810203,DEU,19,Europa,Alemanha,Estugarda,3805,90,0
2011,PR,810203,DEU,20,Europa,Alemanha,Estugarda,3196,228,0
2009,EUR,810203,DEU,21,Europa,Alemanha,Estugarda,3422,105,0
2011,PR,810204,DEU,22,Europa,Alemanha,Frankfurt,2106,222,1
2009,EUR,810204,DEU,23,Europa,Alemanha,Frankfurt,2131,103,2
2022,AR,810205,DEU,24,Europa,Alemanha,Hamburgo,13887,1833,494
2021,PR,810205,DEU,25,Europa,Alemanha,Hamburgo,13978,281,0
2019,AR,810205,DEU,26,Europa,Alemanha,Hamburgo,13861,1533,610
2019,EUR,810205,DEU,27,Europa,Alemanha,Hamburgo,13520,137,1
2016,PR,810205,DEU,28,Europa,Alemanha,Hamburgo,7553,164,0
2015,AR,810205,DEU,29,Europa,Alemanha,Consulado de Hamburgo,6922,594,2
2014,EUR,810205,DEU,30,Europa,Alemanha,Hamburgo,6326,55,0
2011,PR,810205,DEU,31,Europa,Alemanha,Hamburgo,880,119,0
2009,EUR,810205,DEU,32,Europa,Alemanha,Hamburgo,2989,115,2
2011,PR,810206,DEU,33,Europa,Alemanha,Osnabruck,3206,182,0
2019,AR,810299,DEU,34,Europa,Alemanha,Restantes Postos Consulados da Alemanha,39714,5063,1504
2015,AR,810299,DEU,35,Europa,Alemanha,Restantes Consulados da Alemanha,3759,927,1
2011,AR,810299,DEU,36,Europa,Alemanha,Consulados da Alemanha,10718,3141,9
2009,AR,810299,DEU,37,Europa,Alemanha,Consulados da Alemanha,10223,3254,455
2021,PR,810301,AUT,38,Europa,Áustria,Viena,1863,174,0
2019,EUR,810301,AUT,39,Europa,Áustria,Viena,1407,108,0
2016,PR,810301,AUT,40,Europa,Áustria,Viena,267,117,0
2014,EUR,810301,AUT,41,Europa,Áustria,Viena,126,40,2
2022,AR,810401,BEL,42,Europa,Bélgica,Bruxelas,18157,1893,315
2021,PR,810401,BEL,43,Europa,Bélgica,Bruxelas,18936,1334,6
2019,AR,810401,BEL,44,Europa,Bélgica,Bruxelas,19261,3275,347
2019,EUR,810401,BEL,45,Europa,Bélgica,Bruxelas,19672,849,5
2016,PR,810401,BEL,46,Europa,Bélgica,Bruxelas,2549,520,3
2014,EUR,810401,BEL,47,Europa,Bélgica,Bruxelas,1995,317,0
2011,PR,810401,BEL,48,Europa,Bélgica,Bruxelas,2473,438,0
2009,EUR,810401,BEL,49,Europa,Bélgica,Bruxelas,2430,377,2
2021,PR,810501,BGR,50,Europa,Bulgária,Sófia,203,48,0
2019,EUR,810501,BGR,51,Europa,Bulgária,Sófia,158,23,0
2021,PR,810601,CZE,52,Europa,República Checa,Praga,473,124,1
2019,EUR,810601,CZE,53,Europa,República Checa,Praga,294,64,1
2021,PR,810701,DNK,54,Europa,Dinamarca,Copenhague,1567,375,0
2019,EUR,810701,DNK,55,Europa,Dinamarca,Copenhague,986,138,1
2016,PR,810701,DNK,56,Europa,Dinamarca,Copenhague,211,81,0
2014,EUR,810701,DNK,57,Europa,Dinamarca,Copenhague,166,28,0
2011,PR,810701,DNK,58,Europa,Dinamarca,Copenhague,293,69,0
2009,EUR,810701,DNK,59,Europa,Dinamarca,Copenhague,166,42,0
2021,PR,810801,ESP,60,Europa,Espanha,Barcelona,11787,557,1
2019,EUR,810801,ESP,61,Europa,Espanha,Barcelona,8361,158,1
2016,PR,810801,ESP,62,Europa,Espanha,Barcelona,1196,172,1
2014,EUR,810801,ESP,63,Europa,Espanha,Barcelona,615,34,0
2011,PR,810801,ESP,64,Europa,Espanha,Barcelona,708,101,0
2009,EUR,810801,ESP,65,Europa,Espanha,Barcelona,287,15,0
2021,PR,810803,ESP,66,Europa,Espanha,Madrid,17799,806,4
2019,EUR,810803,ESP,67,Europa,Espanha,Madrid,13645,226,1
2016,PR,810803,ESP,68,Europa,Espanha,Madrid,1386,233,1
2014,EUR,810803,ESP,69,Europa,Espanha,Madrid,767,42,0
2011,PR,810803,ESP,70,Europa,Espanha,Madrid,1208,85,1
2009,EUR,810803,ESP,71,Europa,Espanha,Madrid,947,50,0
2021,PR,810804,ESP,72,Europa,Espanha,Vigo,7354,83,1
2019,EUR,810804,ESP,73,Europa,Espanha,Vigo,4589,35,0
2016,PR,810804,ESP,74,Europa,Espanha,Vigo,2274,44,0
2014,EUR,810804,ESP,75,Europa,Espanha,Vigo,671,28,1
2011,PR,810804,ESP,76,Europa,Espanha,Vigo,1466,102,0
2009,EUR,810804,ESP,77,Europa,Espanha,Vigo,458,23,0
2021,PR,810805,ESP,78,Europa,Espanha,Sevilha,5154,90,1
2019,EUR,810805,ESP,79,Europa,Espanha,Sevilha,4298,29,0
2016,PR,810805,ESP,80,Europa,Espanha,Sevilha,1308,42,0
2014,EUR,810805,ESP,81,Europa,Espanha,Sevilha,305,14,0
2011,PR,810805,ESP,82,Europa,Espanha,Sevilha,246,19,0
2009,EUR,810805,ESP,83,Europa,Espanha,Sevilha,185,12,0
2022,AR,810899,ESP,84,Europa,Espanha,Postos Consulares de Espanha,42691,4468,1210
2019,AR,810899,ESP,85,Europa,Espanha,Postos Consulares da Espanha,38582,4161,646
2015,AR,810899,ESP,86,Europa,Espanha,Consulados da Espanha,4945,560,3
2021,PR,810901,FIN,87,Europa,Finlândia,Helsínquia,465,79,0
2019,EUR,810901,FIN,88,Europa,Finlândia,Helsínquia,226,29,0
2016,PR,810901,FIN,89,Europa,Finlândia,Helsínquia,140,47,0
2022,AR,811002,FRA,90,Europa,França,Bordéus,30196,3597,1428
2021,PR,811002,FRA,91,Europa,França,Bordéus,30760,171,1
2019,AR,811002,FRA,92,Europa,França,Bordéus ,29096,2879,1022
2019,EUR,811002,FRA,93,Europa,França,Bordéus,27245,53,0
2016,PR,811002,FRA,94,Europa,França,Bordéus,6532,115,0
2015,AR,811002,FRA,95,Europa,França,Consulado de Bordéus ,5397,492,65
2014,EUR,811002,FRA,96,Europa,França,Bordéus,4077,17,0
2011,PR,811002,FRA,97,Europa,França,Bordéus,4266,109,1
2009,EUR,811002,FRA,98,Europa,França,Bordéus,3250,25,0
2011,PR,811003,FRA,99,Europa,França,Clermont Ferrand,4792,145,1
2009,EUR,811003,FRA,100,Europa,França,Clermont Ferrand,4396,46,1
2022,AR,811004,FRA,101,Europa,França,Estrasburgo,19010,2957,967
2021,PR,811004,FRA,102,Europa,França,Estrasburgo,20262,117,0
2019,AR,811004,FRA,103,Europa,França,Estrasburgo,20606,2510,492
2019,EUR,811004,FRA,104,Europa,França,Estrasburgo,19210,58,0
2016,PR,811004,FRA,105,Europa,França,Estrasburgo,2657,114,0
2014,EUR,811004,FRA,106,Europa,França,Estrasburgo,2070,29,1
2011,PR,811004,FRA,107,Europa,França,Estrasburgo,2524,97,0
2009,EUR,811004,FRA,108,Europa,França,Estrasburgo,2017,28,0
2022,AR,811006,FRA,109,Europa,França,Lyon,56860,6598,2243
2021,PR,811006,FRA,110,Europa,França,Lyon,58865,521,2
2019,AR,811006,FRA,111,Europa,França,Lyon,54367,5115,1720
2019,EUR,811006,FRA,112,Europa,França,Lyon,51947,121,0
2016,PR,811006,FRA,113,Europa,França,Lyon,13489,222,3
2015,AR,811006,FRA,114,Europa,França,Consulado de Lyon,8085,821,199
2014,EUR,811006,FRA,115,Europa,França,Lyon,10196,25,0
2011,AR,811006,FRA,116,Europa,França,Consulado de Lyon,7841,698,173
2011,PR,811006,FRA,117,Europa,França,Lyon,10818,90,1
2009,AR,811006,FRA,118,Europa,França,Lyon,8142,836,255
2009,EUR,811006,FRA,119,Europa,França,Lyon,8720,33,1
2022,AR,811007,FRA,120,Europa,França,Marselha,36013,3193,1139
2021,PR,811007,FRA,121,Europa,França,Marselha,35906,270,1
2019,AR,811007,FRA,122,Europa,França,Marselha,33686,2850,1110
2019,EUR,811007,FRA,123,Europa,França,Marselha,32484,125,1
2016,PR,811007,FRA,124,Europa,França,Marselha,780,46,0
2014,EUR,811007,FRA,125,Europa,França,Marselha,505,9,0
2011,PR,811007,FRA,126,Europa,França,Marselha,668,30,0
2009,EUR,811007,FRA,127,Europa,França,Marselha,634,10,0
2011,PR,811009,FRA,128,Europa,França,Nantes,848,88,1
2009,EUR,811009,FRA,129,Europa,França,Nantes,644,38,0
2022,AR,811012,FRA,130,Europa,França,Paris,232484,27949,9415
2021,PR,811012,FRA,131,Europa,França,Paris,247681,1783,8
2019,AR,811012,FRA,132,Europa,França,Paris,246055,27351,7510
2019,EUR,811012,FRA,133,Europa,França,Paris,235492,764,14
2016,PR,811012,FRA,134,Europa,França,Paris,30678,1131,2
2015,AR,811012,FRA,135,Europa,França,Consulado de Paris,20859,3653,412
2014,EUR,811012,FRA,136,Europa,França,Paris,25352,205,0
2011,AR,811012,FRA,137,Europa,França,Consulado de Paris,8648,2470,150
2011,PR,811012,FRA,138,Europa,França,Paris,34719,1505,15
2009,AR,811012,FRA,139,Europa,França,Paris,16993,4128,611
2009,EUR,811012,FRA,140,Europa,França,Paris,31502,320,1
2022,AR,811015,FRA,141,Europa,França,Toulouse,20703,2293,869
2021,PR,811015,FRA,142,Europa,França,Toulouse,20586,181,1
2019,AR,811015,FRA,143,Europa,França,Toulouse,18928,1840,37
2019,EUR,811015,FRA,144,Europa,França,Toulouse,17775,79,1
2016,PR,811015,FRA,145,Europa,França,Toulouse,4344,91,1
2015,AR,811015,FRA,146,Europa,França,Consulado de Toulouse,3407,313,75
2014,EUR,811015,FRA,147,Europa,França,Toulouse,3673,30,0
2011,PR,811015,FRA,148,Europa,França,Toulouse,3055,71,0
2009,EUR,811015,FRA,149,Europa,França,Toulouse,2705,35,1
2015,AR,811099,FRA,150,Europa,França,Restantes Consulados de França,2418,463,90
2011,AR,811099,FRA,151,Europa,França,Restantes Consulados de França,29011,5975,1042
2009,AR,811099,FRA,152,Europa,França,Restante França,21517,3863,771
2021,PR,811101,GRC,153,Europa,Grécia,Atenas,210,17,0
2019,EUR,811101,GRC,154,Europa,Grécia,Atenas,103,11,0
2021,PR,811201,NLD,155,Europa,Países Baixos,Haia,13678,952,12
2019,AR,811201,NLD,156,Europa,Holanda,Haia,12278,1580,400
2019,EUR,811201,NLD,157,Europa,Holanda,Haia,10776,278,1
2016,PR,811201,NLD,158,Europa,Holanda,Haia,1338,173,0
2014,EUR,811201,NLD,159,Europa,Holanda,Haia,998,45,0
2011,PR,811201,NLD,160,Europa,Holanda,Haia,951,91,0
2009,EUR,811201,NLD,161,Europa,Holanda,Haia,850,29,0
2021,PR,811301,HUN,162,Europa,Hungria,Budapeste,281,62,5
2019,EUR,811301,HUN,163,Europa,Hungria,Budapeste,196,35,0
2021,PR,811401,IRL,164,Europa,Irlanda,Dublin,4254,394,2
2019,EUR,811401,IRL,165,Europa,Irlanda,Dublin,3631,166,0
