Ano,Eleição,MAI_code,ISO_code,Pais,Votantes,Nulos,Inscritos,N_Consulados
2009,AR,8102,DEU,Alemanha,3254,455,10223,1
2009,AR,8110,FRA,França,8827,1637,46652,3
2009,AR,8130,CHE,Suíça,1674,111,5284,1
2009,AR,8199,,Restantes Países da Europa,3024,448,10377,1
2009,AR,8299,,Países da América e África,1051,28,16667,1
2009,AR,9203,BRA,Brasil,3102,350,53347,1
2009,AR,9204,CAN,Canadá,1500,390,7243,1
2009,AR,9207,USA,Estados Unidos da América,1695,264,9608,1
2009,AR,9399,,Países da Ásia e Oceânia,1345,67,7606,1
2009,EUR,8102,DEU,Alemanha,425,4,11520,4
2009,EUR,8104,BEL,Bélgica,377,2,2430,1
2009,EUR,8107,DNK,Dinamarca,42,0,166,1
2009,EUR,8108,ESP,Espanha,100,0,1877,4
2009,EUR,8110,FRA,França,535,4,53868,8
2009,EUR,8112,NLD,Holanda,29,0,850,1
2009,EUR,8115,ITA,Itália,55,0,789,1
2009,EUR,8117,LUX,Luxemburgo,91,0,1786,1
2009,EUR,8118,NOR,Noruega,8,0,140,1
2009,EUR,8120,GBR,Reino Unido,44,0,1294,2
2009,EUR,8122,SWE,Suécia,14,0,169,1
2009,EUR,8124,AND,Andorra,54,0,901,1
2009,EUR,8130,CHE,Suíça,346,6,6461,3
2009,EUR,9101,ZAF,África do Sul,478,4,7598,4
2009,EUR,9102,AGO,Angola,60,0,1181,2
2009,EUR,9104,CPV,Cabo Verde,76,1,377,1
2009,EUR,9107,MOZ,Moçambique,90,0,1736,2
2009,EUR,9109,STP,São Tomé e Príncipe,29,0,112,1
2009,EUR,9112,COG,Congo,12,0,120,1
2009,EUR,9114,ZWE,Zimbabwe,13,0,286,1
2009,EUR,9115,GNB,Guiné-Bissau,32,2,142,1
2009,EUR,9201,ARG,Argentina,145,0,1254,1
2009,EUR,9203,BRA,Brasil,1094,7,53295,10
2009,EUR,9204,CAN,Canadá,190,0,9415,4
2009,EUR,9207,USA,Estados Unidos da América,253,8,12445,7
2009,EUR,9210,URY,Uruguai,19,0,588,1
2009,EUR,9211,VEN,Venezuela,454,1,7453,2
2009,EUR,9302,CHN,China,223,3,11272,1
2009,EUR,9304,IND,Índia,34,0,1750,1
2009,EUR,9312,AUS,Austrália,147,0,1661,1
2009,EUR,9341,TLS,Timor,86,0,186,1
2011,AR,8102,DEU,Alemanha,3141,9,10718,1
2011,AR,8110,FRA,França,9143,1365,45500,3
2011,AR,8130,CHE,Suíça,2244,513,7714,1
2011,AR,8199,,Restantes Países da Europa,3411,274,11121,1
2011,AR,9203,BRA,Brasil,7934,1430,73370,1
2011,AR,9204,CAN,Canadá,2115,236,9241,1
2011,AR,9207,USA,Estados Unidos da América,1655,226,9353,1
2011,AR,9299,,Restantes Países da América e África,2050,255,20209,1
2011,AR,9399,,Países da Ásia e Oceânia,1366,389,7883,1
2011,PR,8102,DEU,Alemanha,994,2,12643,6
2011,PR,8104,BEL,Bélgica,438,0,2473,1
2011,PR,8107,DNK,Dinamarca,69,0,293,1
2011,PR,8108,ESP,Espanha,307,1,3628,4
2011,PR,8110,FRA,França,2135,19,61690,8
2011,PR,8112,NLD,Holanda,91,0,951,1
2011,PR,8115,ITA,Itália,115,1,957,1
2011,PR,8117,LUX,Luxemburgo,392,4,1953,1
