FREGUESIA,TIPAU,Distrito,CC_DSG,FF_DSG,PT_INE_21,TOTAL_INE_21,PT_INE_11,TOTAL_INE_11,PT_INE_01,TOTAL_INE_01,sec+_INE_21,superior_INE_21,65+_INE_21,65+_INE_11,65+_INE_01,desemprego_INE_21,desemprego_INE_11,prov_PT_INE_21,prov_EST_INE_21,prov_PT_INE_11,prov_EST_INE_11,VAR_PT_21_11_rel,Nome_x,PT_MAI_21,PT_MAI_11,PT_MAI_01,diff_abs_21,diff_abs_11,diff_abs_01,diff_rel_21,diff_rel_11,diff_rel_01,VAR_diff_rel_21_11
160102,APU,Viana do Castelo,Arcos de Valdevez,AGUIÃ,615,622,587,592,571,573,24.6,6.9,36.8,26.2,26.7,2.3,3.0,9.3,2.1,2.7,3.7,4.770017035775128,Viana do Castelo > Arcos de Valdevez > Aguiã,801.0,871,692,186.0,284,121,23.2,32.6,17.5,-9.400000000000002
160124,APU,Viana do Castelo,Arcos de Valdevez,PAÇÔ,814,834,754,770,654,660,45.2,18.1,28.8,21.9,20.3,3.2,4.9,14.0,1.9,10.0,1.7,7.957559681697612,Viana do Castelo > Arcos de Valdevez > Paçô,1031.0,1044,720,217.0,290,66,21.0,27.8,9.2,-6.800000000000001
160153,APU,Viana do Castelo,Arcos de Valdevez,UNIÃO DAS FREGUESIAS DE ARCOS DE VALDEVEZ (SÃO PAIO) E GIELA,1362,1405,1300,1353,1313,1322,48.3,21.0,29.5,23.1,22.4,3.4,5.2,13.3,1.9,8.3,2.7,4.769230769230769,Viana do Castelo > Arcos de Valdevez > União das freguesias de Arcos de Valdevez (São Paio) e Giela,1711.0,1826,1545,349.0,526,232,20.4,28.8,15.0,-8.400000000000002
160154,APU,Viana do Castelo,Arcos de Valdevez,"UNIÃO DAS FREGUESIAS DE ARCOS DE VALDEVEZ (SÃO SALVADOR), VILA FONCHE E PARADA",2215,2315,2018,2075,1699,1716,50.0,20.4,27.0,22.7,21.0,4.1,5.8,13.7,3.6,13.9,2.0,9.762140733399406,"Viana do Castelo > Arcos de Valdevez > União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",2704.0,2459,1852,489.0,441,153,18.1,17.9,8.3,0.20000000000000284
160157,APU,Viana do Castelo,Arcos de Valdevez,UNIÃO DAS FREGUESIAS DE GUILHADESES E SANTAR,972,988,1030,1035,893,905,39.6,14.4,31.4,30.4,25.4,2.0,5.6,13.2,1.2,5.9,1.4,-5.631067961165048,Viana do Castelo > Arcos de Valdevez > União das freguesias de Guilhadeses e Santar,1190.0,1173,1015,218.0,143,122,18.3,12.2,12.0,6.100000000000001
160201,APU,Viana do Castelo,Caminha,ÂNCORA,988,1005,957,971,834,839,43.0,16.7,27.8,24.6,22.8,2.7,6.4,11.0,1.3,5.5,1.9,3.239289446185998,Viana do Castelo > Caminha > Âncora,1143.0,1091,865,155.0,134,31,13.6,12.3,3.6,1.299999999999999
160222,APU,Viana do Castelo,Caminha,UNIÃO DAS FREGUESIAS DE CAMINHA (MATRIZ) E VILARELHO,2023,2102,2087,2133,2081,2107,44.4,18.9,38.8,31.2,28.4,2.6,7.8,9.9,1.4,7.9,0.4,-3.0666027791087687,Viana do Castelo > Caminha > União das freguesias de Caminha (Matriz) e Vilarelho,2363.0,2519,2409,340.0,432,328,14.4,17.1,13.6,-2.700000000000001
160225,APU,Viana do Castelo,Caminha,UNIÃO DAS FREGUESIAS DE VENADE E AZEVEDO,744,759,783,792,803,812,37.0,14.9,34.0,27.5,25.2,2.9,4.2,13.6,1.4,3.7,1.8,-4.980842911877394,Viana do Castelo > Caminha > União das freguesias de Venade e Azevedo,888.0,979,965,144.0,196,162,16.2,20.0,16.8,-3.8000000000000007
160217,APU,Viana do Castelo,Caminha,VILA PRAIA DE ÂNCORA,3848,3997,3910,4087,3686,3735,42.7,18.0,30.8,24.9,20.5,4.3,6.3,8.9,2.7,4.9,2.7,-1.5856777493606138,Viana do Castelo > Caminha > Vila Praia de Âncora,4866.0,4949,3851,1018.0,1039,165,20.9,21.0,4.3,-0.10000000000000142
160311,APU,Viana do Castelo,Melgaço,PADERNE,917,937,1010,1025,1068,1077,29.1,9.5,48.0,43.0,36.6,1.7,2.4,12.3,1.7,3.1,2.5,-9.207920792079207,Viana do Castelo > Melgaço > Paderne,1215.0,1511,1403,298.0,501,335,24.5,33.2,23.9,-8.700000000000003
