FREGUESIA,CC_DSG,FF_DSG,Total_censos_21,Portuguesa_censos_21,Total_censos_11,Portuguesa_censos_11,Total_censos_01,Portuguesa_censos_01
010103,Águeda,Aguada de Cima,3265,3174,3265,3185,3133,3088
010109,Águeda,Fermentelos,2570,2491,2658,2578,2530,2432
010112,Águeda,Macinhata do Vouga,2738,2687,2848,2821,2865,2841
010119,Águeda,Valongo do Vouga,3976,3909,4029,3977,4032,3998
010121,Águeda,União das freguesias de Águeda e Borralha,11543,10844,11220,10830,10848,10651
010122,Águeda,União das freguesias de Barrô e Aguada de Baixo,2701,2626,2727,2674,2934,2879
010123,Águeda,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",1242,1222,1359,1347,1465,1458
010124,Águeda,União das freguesias de Recardães e Espinhel,4948,4835,5013,4924,4871,4817
010125,Águeda,União das freguesias de Travassô e Óis da Ribeira,1897,1866,1962,1948,1958,1939
010126,Águeda,"União das freguesias de Trofa, Segadães e Lamas do Vouga",3754,3672,3802,3700,3698,3631
010127,Águeda,União das freguesias do Préstimo e Macieira de Alcoba,628,620,708,698,853,846
010202,Albergaria-a-Velha,Alquerubim,1920,1891,1919,1909,1857,1833
010203,Albergaria-a-Velha,Angeja,1650,1626,1745,1727,1844,1827
010204,Albergaria-a-Velha,Branca,4590,4473,4556,4502,4386,4335
010206,Albergaria-a-Velha,Ribeira de Fráguas,1311,1292,1461,1455,1465,1451
010209,Albergaria-a-Velha,Albergaria-a-Velha e Valmaior,9151,8752,8481,8166,7439,7307
010210,Albergaria-a-Velha,São João de Loure e Frossos,2330,2285,2393,2365,2463,2436
010304,Anadia,Avelãs de Caminho,1133,1085,1030,991,990,972
010305,Anadia,Avelãs de Cima,1719,1671,1841,1808,2020,1989
010307,Anadia,Moita,1941,1909,2104,2060,2249,2224
010309,Anadia,Sangalhos,3252,3169,3390,3323,3517,3452
010310,Anadia,São Lourenço do Bairro,1983,1946,2027,2001,2085,2057
010312,Anadia,Vila Nova de Monsarros,1352,1329,1456,1443,1614,1600
010313,Anadia,Vilarinho do Bairro,2221,2183,2423,2387,2717,2673
010316,Anadia,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",2137,2085,2293,2267,2624,2594
010317,Anadia,União das freguesias de Arcos e Mogofores,5342,5104,5228,4990,5218,5139
010318,Anadia,"União das freguesias de Tamengos, Aguim e Óis do Bairro",2807,2713,2772,2689,2775,2732
010402,Arouca,Alvarenga,931,922,1058,1054,1095,1093
010407,Arouca,Chave,1085,1078,1037,1034,1101,1095
010409,Arouca,Escariz,1766,1746,1744,1724,1682,1668
010411,Arouca,Fermedo,1063,1050,1075,1071,1164,1163
010413,Arouca,Mansores,898,890,864,861,869,862
010414,Arouca,Moldes,971,965,1019,1013,1128,1126
010415,Arouca,Rossas,1248,1240,1288,1283,1304,1291
010416,Arouca,Santa Eulália,1783,1766,1803,1784,1815,1794
010417,Arouca,São Miguel do Mato,459,458,478,473,633,633
010418,Arouca,Tropeço,902,891,922,915,977,958
010419,Arouca,Urrô,774,770,844,841,946,927
010420,Arouca,Várzea,430,421,428,427,434,428
010421,Arouca,União das freguesias de Arouca e Burgo,4294,4220,4181,4132,4003,3966
010422,Arouca,União das freguesias de Cabreiros e Albergaria da Serra,164,164,201,201,273,273
010423,Arouca,União das freguesias de Canelas e Espiunca,891,878,941,938,995,986
010424,Arouca,União das freguesias de Covelo de Paivó e Janarde,154,150,193,193,278,278
010501,Aveiro,Aradas,8460,7874,7596,7323,6261,6168
010502,Aveiro,Cacia,5747,5638,5989,5931,5501,5440
010505,Aveiro,Esgueira,11300,10649,10795,10294,9591,9407
010508,Aveiro,Oliveirinha,3899,3805,3946,3899,3798,3755
010510,Aveiro,São Bernardo,4335,4200,4013,3924,3252,3206
010511,Aveiro,São Jacinto,672,661,823,813,798,786
010513,Aveiro,Santa Joana,6703,6470,6631,6479,5896,5788
010515,Aveiro,Eixo e Eirol,5197,5026,5123,5035,4702,4637
010516,Aveiro,"Requeixo, Nossa Senhora de Fátima e Nariz",3712,3580,3702,3613,3548,3466
010517,Aveiro,União das freguesias de Glória e Vera Cruz,18140,16407,15925,15045,15332,14819
010602,Castelo de Paiva,Fornos,1094,1071,1156,1154,1271,1266
010606,Castelo de Paiva,Real,1001,990,1065,1056,1047,1042
010607,Castelo de Paiva,Santa Maria de Sardoura,1914,1901,2056,2053,2037,2031
010608,Castelo de Paiva,São Martinho de Sardoura,1543,1537,1494,1491,1420,1415
010610,Castelo de Paiva,"União das freguesias de Raiva, Pedorido e Paraíso",3635,3613,3777,3766,3792,3775
010611,Castelo de Paiva,União das freguesias de Sobrado e Bairros,4027,3984,3853,3836,3646,3637
010702,Espinho,Espinho,9058,8726,8476,8257,8701,8504
010704,Espinho,Paramos,2732,2692,2920,2897,2940,2931
010705,Espinho,Silvalde,5271,5183,5566,5532,5893,5833
010706,Espinho,União das freguesias de Anta e Guetim,9780,9598,9794,9681,9695,9551
010801,Estarreja,Avanca,4875,4778,5129,5070,5126,5072
010805,Estarreja,Pardilhó,3538,3388,3385,3344,3244,3217
010806,Estarreja,Salreu,3169,3072,3216,3181,3444,3378
010808,Estarreja,União das freguesias de Beduído e Veiros,8281,8063,8085,7962,8133,8006
010809,Estarreja,União das freguesias de Canelas e Fermelã,2260,2217,2317,2283,2422,2386
010901,Santa Maria da Feira,Argoncilhe,6883,6793,6816,6777,6659,6573
010902,Santa Maria da Feira,Arrifana,5421,5291,5431,5348,5279,5240
010904,Santa Maria da Feira,Escapães,2772,2716,2753,2726,2373,2354
010907,Santa Maria da Feira,Fiães,6106,6001,6570,6515,6874,6809
010908,Santa Maria da Feira,Fornos,2805,2761,2701,2664,2171,2141
010913,Santa Maria da Feira,Lourosa,6927,6815,7106,7025,7222,7165
010914,Santa Maria da Feira,Milheirós de Poiares,3071,3016,3047,3017,2929,2905
010916,Santa Maria da Feira,Mozelos,6079,5978,5702,5630,5050,5001
010917,Santa Maria da Feira,Nogueira da Regedoura,4782,4686,4579,4503,3884,3832
010918,Santa Maria da Feira,São Paio de Oleiros,3170,3115,3372,3357,3227,3202
010919,Santa Maria da Feira,Paços de Brandão,4109,4012,4031,3970,3700,3681
010921,Santa Maria da Feira,Rio Meão,4110,4049,4018,3993,3673,3653
010922,Santa Maria da Feira,Romariz,2411,2378,2444,2425,2716,2686
010924,Santa Maria da Feira,Sanguedo,2876,2846,2796,2766,2694,2616
010925,Santa Maria da Feira,Santa Maria de Lamas,4143,4068,4172,4110,4018,3980
010926,Santa Maria da Feira,São João de Ver,9138,8976,8377,8285,6780,6694
010932,Santa Maria da Feira,União das freguesias de Caldas de São Jorge e Pigeiros,3179,3125,3199,3173,3122,3096
010933,Santa Maria da Feira,"União das freguesias de Canedo, Vale e Vila Maior",7449,7323,7472,7389,7177,7068
010934,Santa Maria da Feira,"União das freguesias de Lobão, Gião, Louredo e Guisande",8094,7959,7791,7689,7848,7720
010935,Santa Maria da Feira,"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",16245,15696,14587,14228,12706,12420
010936,Santa Maria da Feira,União das freguesias de São Miguel do Souto e Mosteirô,5555,5468,5533,5480,5406,5336
011005,Ílhavo,Gafanha da Encarnação,4405,4272,4275,4166,3687,3613
011006,Ílhavo,Gafanha da Nazaré,12948,12377,12348,11910,10945,10697
011007,Ílhavo,Gafanha do Carmo,1388,1352,1236,1210,1155,1143
011008,Ílhavo,Ílhavo (São Salvador),14033,13621,13526,13262,13471,13271
011102,Mealhada,Barcouço,1805,1771,1775,1745,1751,1738
011103,Mealhada,Casal Comba,2676,2629,2681,2648,2695,2673
011104,Mealhada,Luso,1982,1959,2205,2182,2232,2216
011106,Mealhada,Pampilhosa,3281,3225,3380,3357,3434,3410
011107,Mealhada,Vacariça,1470,1456,1659,1644,1711,1709
011109,Mealhada,"União das freguesias da Mealhada, Ventosa do Bairro e Antes",5383,5163,5333,5146,5023,4955
011201,Murtosa,Bunheiro,2133,2100,2210,2196,2144,2118
011202,Murtosa,Monte,1297,1263,1165,1149,885,871
011203,Murtosa,Murtosa,2934,2824,3050,3004,2541,2508
011204,Murtosa,Torreira,2376,2327,2167,2141,1853,1827
011301,Oliveira de Azeméis,Carregosa,2917,2857,2837,2818,2775,2733
011302,Oliveira de Azeméis,Cesar,2592,2539,2571,2522,2566,2521
