,Concelho,Nome,NAC,FREGUESIA
297,SERPA,ALDEIA NOVA DE SÃO BENTO,3140,
400,BARCELOS,BASTUÇO (SANTO ESTÊVÃO),480,
621,GUIMARÃES,SELHO (SÃO CRISTÓVÃO),2289,
780,VILA VERDE,LAJE,2234,
891,BRAGANÇA,ZOIO,255,
944,MACEDO DE CAVALEIROS,SESULFE,376,
1000,MIRANDELA,SUÇÃES,855,
1053,TORRE DE MONCORVO,URROS,352,
1109,VINHAIS,SOBREIRO DE BAIXO,467,
1382,GÓIS,VILA NOVA DE CEIRA,911,
1545,MONTEMOR-O-NOVO,SÃO CRISTOVÃO,686,
1547,MONTEMOR-O-NOVO,CORTIÇADAS,869,
1618,LOULÉ,ALMANCIL,6781,
1817,GUARDA,POUSADA,233,
1854,PINHEL,GOUVEIA,385,
1894,SABUGAL,QUINTA DE SÃO BARTOLOMEU,333,
2074,LEIRIA,SOUTO DA CARPALHOSA,3889,
2305,SINTRA,CACÉM,17541,
2323,TORRES VEDRAS,TORRES VEDRAS (SANTA MARIA DO CASTELO E SÃO MIGUEL,4188,
2325,TORRES VEDRAS,TORRES VEDRAS (SÃO PEDRO E SANTIAGO),15490,
2348,AMADORA,REBOLEIRA,13663,
2356,ODIVELAS,OLIVAL BASTO,5141,
2610,MARCO DE CANAVESES,SANTO ISIDORO,1399,
2810,VILA NOVA DE GAIA,PEROZINHO,5022,
2844,ABRANTES,VALE DAS MÓS,633,
2887,CORUCHE,SÃO JOSÉ DA LAMAROSA,1711,
3021,OURÉM,RIBEIRA DO FÁRRIO,968,
3050,GRÂNDOLA,AZINHEIRA BARROS E SÃO MAMEDE DO SÁDÃO,782,
3137,ARCOS DE VALDEVEZ,ARCOS DE VALDEVEZ (SALVADOR),1161,
3274,PONTE DE LIMA,ARCOS,679,
3361,VIANA DO CASTELO,NEIVA,1317,
3589,VALPAÇOS,CARREZEDO DE MONTENEGRO,2080,
3653,VILA REAL,QUINTA,181,
3687,CARREGAL DO SAL,SOBRAL,327,
3722,CINFÃES,SÃO CRISTÓVÃO DE NOGUEIRA,1855,
3781,MOIMENTA DA BEIRA,PASSÔ,517,
3890,SÃO PEDRO DO SUL,SÃO CRISTÓVÃO DE LAFÕES,244,
3935,TABUAÇO,LONGRA,399,
3963,TONDELA,LAJEOSA,2162,
4075,POVOAÇÃO,NOSSA SENHORA DOS  REMÉDIOS,1073,
4094,VILA FRANCA DO CAMPO,RIBEIRA DAS TAINHAS,759,
4117,SANTA CRUZ DA GRACIOSA,GUADALUPE (R.A.AÇORES),1286,
4118,SANTA CRUZ DA GRACIOSA,LUZ (R.A.AÇORES),738,
4119,SANTA CRUZ DA GRACIOSA,PRAIA (SÃO MATEUS) (R.A.AÇORES),799,
4120,SANTA CRUZ DA GRACIOSA,SANTA CRUZ DA GRACIOSA (R.A.AÇORES),1591,
4121,VELAS,MANADAS (SANTA BÁRBARA)(R.A.AÇORES),425,
4122,VELAS,NORTE GRANDE (NEVES) (R.A.AÇORES),629,
4123,VELAS,ROSAIS (R.A.AÇORES),729,
4124,VELAS,SANTO AMARO (R.A.AÇORES),817,
4125,VELAS,URZELINA (SÃO MATEUS) (R.A.AÇORES),800,
4126,VELAS,VELAS (SÃO JORGE) (R.A.AÇORES),1748,
4199,RIBEIRA BRAVA,TÁBUA,1223,
4215,CUBA,HAVANA,3,
