Codigo,Ano,Eleição,Continente,Pais,Consulado,Inscritos,Votantes,Nulos
810201,2022,AR,Europa,Alemanha,Berlim,5231,1012,187
810201,2021,PR,Europa,Alemanha,Berlim,4901,656,1
810201,2019,EUR,Europa,Alemanha,Berlim,4379,324,1
810201,2016,PR,Europa,Alemanha,Berlim,488,196,0
810201,2014,EUR,Europa,Alemanha,Berlim,174,48,1
810201,2011,PR,Europa,Alemanha,Berlim,164,60,0
810202,2022,AR,Europa,Alemanha,Dusseldorf,26597,3504,859
810202,2021,PR,Europa,Alemanha,Dusseldorf,26285,401,1
810202,2019,AR,Europa,Alemanha,Dusseldorf,24430,3039,679
810202,2019,EUR,Europa,Alemanha,Dusseldorf,23126,185,1
810202,2016,PR,Europa,Alemanha,Dusseldorf,4657,175,1
810202,2015,AR,Europa,Alemanha,Consulado de Dusseldorf,3538,764,0
810202,2014,EUR,Europa,Alemanha,Dusseldorf,4019,60,1
810202,2011,PR,Europa,Alemanha,Dusseldorf,3091,183,1
810202,2009,EUR,Europa,Alemanha,Dusseldorf,2978,102,0
810203,2022,AR,Europa,Alemanha,Estugarda,30342,4613,905
810203,2021,PR,Europa,Alemanha,Estugarda,33842,395,0
810203,2019,EUR,Europa,Alemanha,Estugarda,35131,208,0
810203,2016,PR,Europa,Alemanha,Estugarda,4510,237,0
810203,2014,EUR,Europa,Alemanha,Estugarda,3805,90,0
810203,2011,PR,Europa,Alemanha,Estugarda,3196,228,0
810203,2009,EUR,Europa,Alemanha,Estugarda,3422,105,0
810204,2011,PR,Europa,Alemanha,Frankfurt,2106,222,1
810204,2009,EUR,Europa,Alemanha,Frankfurt,2131,103,2
810205,2022,AR,Europa,Alemanha,Hamburgo,13887,1833,494
810205,2021,PR,Europa,Alemanha,Hamburgo,13978,281,0
810205,2019,AR,Europa,Alemanha,Hamburgo,13861,1533,610
810205,2019,EUR,Europa,Alemanha,Hamburgo,13520,137,1
810205,2016,PR,Europa,Alemanha,Hamburgo,7553,164,0
810205,2015,AR,Europa,Alemanha,Consulado de Hamburgo,6922,594,2
810205,2014,EUR,Europa,Alemanha,Hamburgo,6326,55,0
810205,2011,PR,Europa,Alemanha,Hamburgo,880,119,0
810205,2009,EUR,Europa,Alemanha,Hamburgo,2989,115,2
810206,2011,PR,Europa,Alemanha,Osnabruck,3206,182,0
