ISO_code,Ano,País,MAI_code,Faixa Etária,Residentes,proporcao_residentes
DNK,2023,DINAMARCA,8107,Total,3789,100.0
DNK,2023,DINAMARCA,8107,< 15,348,9.18
DNK,2023,DINAMARCA,8107,15-39,2149,56.72
DNK,2023,DINAMARCA,8107,40-64,1135,29.96
DNK,2023,DINAMARCA,8107,> 65,157,4.14
LUX,2023,LUXEMBURGO,8117,Total,92101,100.0
LUX,2023,LUXEMBURGO,8117,< 15,13469,14.62
LUX,2023,LUXEMBURGO,8117,15-39,26651,28.94
LUX,2023,LUXEMBURGO,8117,40-64,41907,45.5
LUX,2023,LUXEMBURGO,8117,> 65,10074,10.94
NOR,2023,NORUEGA,8118,Total,5970,100.0
NOR,2023,NORUEGA,8118,< 15,962,16.11
NOR,2023,NORUEGA,8118,15-64,4921,82.43
NOR,2023,NORUEGA,8118,> 65,87,1.46
DEU,2022,ALEMANHA,8102,Total,139425,100.0
DEU,2022,ALEMANHA,8102,< 15,9220,6.61
DEU,2022,ALEMANHA,8102,15-39,45370,32.54
DEU,2022,ALEMANHA,8102,40-64,65355,46.87
DEU,2022,ALEMANHA,8102,> 65,19480,13.97
AUT,2022,AUSTRIA,8103,Total,4454,100.0
AUT,2022,AUSTRIA,8103,< 15,653,14.66
AUT,2022,AUSTRIA,8103,15-39,1877,42.14
AUT,2022,AUSTRIA,8103,40-64,1815,40.75
AUT,2022,AUSTRIA,8103,> 65,109,2.45
BEL,2022,BELGICA,8104,Total,51519,100.0
BEL,2022,BELGICA,8104,< 15,7826,15.19
BEL,2022,BELGICA,8104,15-39,19174,37.22
BEL,2022,BELGICA,8104,40-64,21221,41.19
BEL,2022,BELGICA,8104,> 65,3298,6.4
BGR,2022,BULGARIA,8105,Total,172,100.0
BGR,2022,BULGARIA,8105,< 15,5,2.91
BGR,2022,BULGARIA,8105,15-39,94,54.65
BGR,2022,BULGARIA,8105,40-64,69,40.12
BGR,2022,BULGARIA,8105,> 65,4,2.33
SVN,2022,ESLOVENIA,8147,Total,85,100.0
SVN,2022,ESLOVENIA,8147,< 15,5,5.88
SVN,2022,ESLOVENIA,8147,15-39,46,54.12
SVN,2022,ESLOVENIA,8147,40-64,33,38.82
SVN,2022,ESLOVENIA,8147,> 65,1,1.18
ISL,2022,ISLANDIA,,Total,1406,100.0
ISL,2022,ISLANDIA,,< 15,123,8.75
ISL,2022,ISLANDIA,,15-39,661,47.01
ISL,2022,ISLANDIA,,40-64,597,42.46
ISL,2022,ISLANDIA,,> 65,25,1.78
LIE,2022,LIECHTENSTEIN,,Total,692,100.0
LIE,2022,LIECHTENSTEIN,,< 15,120,17.34
LIE,2022,LIECHTENSTEIN,,15-39,257,37.14
LIE,2022,LIECHTENSTEIN,,40-64,306,44.22
LIE,2022,LIECHTENSTEIN,,> 65,9,1.3
LTU,2022,LITUANIA,,Total,45,100.0
LTU,2022,LITUANIA,,< 15,4,8.89
LTU,2022,LITUANIA,,15-39,23,51.11
LTU,2022,LITUANIA,,40-64,17,37.78
LTU,2022,LITUANIA,,> 65,1,2.22
NLD,2022,PAISES BAIXOS,8112,Total,28002,100.0
NLD,2022,PAISES BAIXOS,8112,< 15,3009,10.75
NLD,2022,PAISES BAIXOS,8112,15-39,13506,48.23
NLD,2022,PAISES BAIXOS,8112,40-64,9948,35.53
NLD,2022,PAISES BAIXOS,8112,> 65,1539,5.5
ROU,2022,ROMENIA,8121,Total,251,100.0
ROU,2022,ROMENIA,8121,< 15,38,15.14
ROU,2022,ROMENIA,8121,15-39,116,46.22
ROU,2022,ROMENIA,8121,40-64,95,37.85
ROU,2022,ROMENIA,8121,> 65,2,0.8
AND,2021,ANDORRA,8124,Total,8885,100.0
AND,2021,ANDORRA,8124,< 15,154,1.73
AND,2021,ANDORRA,8124,15-39,2530,28.47
AND,2021,ANDORRA,8124,40-64,5651,63.6
AND,2021,ANDORRA,8124,> 65,550,6.19
CAN,2021,CANADA,9204,Total,24265,100.0
CAN,2021,CANADA,9204,< 15,750,3.09
CAN,2021,CANADA,9204,15-39,7172,29.56
CAN,2021,CANADA,9204,40-64,12003,49.47
CAN,2021,CANADA,9204,> 65,4340,17.89
MAC,2021,MACAU,,Total,8991,100.0
MAC,2021,MACAU,,< 15,1678,18.66
MAC,2021,MACAU,,15-39,2475,27.53
MAC,2021,MACAU,,40-64,3490,38.82
MAC,2021,MACAU,,> 65,1348,14.99
ESP,2021,ESPANHA,8108,Total,97187,100.0
ESP,2021,ESPANHA,8108,< 15,9411,9.68
ESP,2021,ESPANHA,8108,15-39,37475,38.56
ESP,2021,ESPANHA,8108,40-64,42413,43.64
ESP,2021,ESPANHA,8108,> 65,7888,8.12
FIN,2021,FINLANDIA,8109,Total,937,100.0
FIN,2021,FINLANDIA,8109,< 15,78,8.32
FIN,2021,FINLANDIA,8109,15-39,472,50.37
FIN,2021,FINLANDIA,8109,40-64,370,39.49
FIN,2021,FINLANDIA,8109,> 65,17,1.81
SWE,2021,SUECIA,8122,Total,3275,100.0
SWE,2021,SUECIA,8122,< 15,245,7.48
SWE,2021,SUECIA,8122,15-39,1834,56.0
SWE,2021,SUECIA,8122,40-64,1028,31.39
SWE,2021,SUECIA,8122,> 65,168,5.13
CHE,2021,SUICA,8130,Total,255236,100.0
CHE,2021,SUICA,8130,< 15,43576,17.07
CHE,2021,SUICA,8130,15-39,96711,37.89
CHE,2021,SUICA,8130,40-64,109914,43.06
CHE,2021,SUICA,8130,> 65,5035,1.97
EST,2020,ESTONIA,,Total,254,100.0
EST,2020,ESTONIA,,< 15,11,4.33
EST,2020,ESTONIA,,15-39,196,77.17
EST,2020,ESTONIA,,40-64,47,18.5
EST,2020,ESTONIA,,> 65,0,0.0
GBR,2020,REINO UNIDO DA GRA-BRETANHA E IRLANDA DO NORTE,8120,Total,268245,100.0
GBR,2020,REINO UNIDO DA GRA-BRETANHA E IRLANDA DO NORTE,8120,< 15,50428,18.8
GBR,2020,REINO UNIDO DA GRA-BRETANHA E IRLANDA DO NORTE,8120,15-39,137326,51.19
GBR,2020,REINO UNIDO DA GRA-BRETANHA E IRLANDA DO NORTE,8120,40-64,74494,27.77
GBR,2020,REINO UNIDO DA GRA-BRETANHA E IRLANDA DO NORTE,8120,> 65,5997,2.24
FRA,2019,FRANCA,8110,Total,549609,100.0
FRA,2019,FRANCA,8110,< 15,63405,11.54
FRA,2019,FRANCA,8110,15-64,279711,50.89
FRA,2019,FRANCA,8110,> 65,206493,37.57
MOZ,2017,MOCAMBIQUE,9107,Total,5560,100.0
MOZ,2017,MOCAMBIQUE,9107,< 15,1060,19.06
MOZ,2017,MOCAMBIQUE,9107,15-39,1666,29.96
MOZ,2017,MOCAMBIQUE,9107,40-64,2092,37.63
MOZ,2017,MOCAMBIQUE,9107,> 65,742,13.35
IRL,2016,IRLANDA,8114,Total,4807,100.0
IRL,2016,IRLANDA,8114,< 15,559,11.63
IRL,2016,IRLANDA,8114,15-39,2809,58.44
IRL,2016,IRLANDA,8114,40-64,1385,28.81
IRL,2016,IRLANDA,8114,> 65,54,1.12
