,nan,2023,2023,2023,2023,2022,2022,2022,2022,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2007,2006,2006,2006,2006,2005,2005,2005,2005,2004,2004,2004,2004,2003,2003,2003,2003,2002,2002,2002,2002,2001,2001,2001,2001,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
,Unnamed: 0_level_1,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65,Total,< 15,15-39,40-64,15-64,> 65
0,AfeganistÃ£o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ãfrica do Sul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ãfrica Oriental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AlbÃ¢nia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Alemanha,,,,,,,139 425,9 220,45 370,65 355,,19 480,138 740,9 320,45 670,64 775,,18 975,138 560,9 430,46 405,64 115,,18 610,138 400,9 440,47 490,63 315,,18 155,138 890,9 560,49 035,62 575,,17 720,146 800,9 615,50 725,68 045,,18 415,136 080,9 600,50 982,58 683,,16 815,133 929,9 490,51 226,56 868,,16 345,130 882,9 247,51 191,54 663,,15 781,127 368,9 141,50 501,52 785,,14 941,120 560,8 999,47 694,50 386,,13 481,115 530,9 206,45 885,48 135,,12 304,113 208,9 688,45 672,46 602,,11 246,113 260,10 443,46 731,45 891,,10 195,114 451,11 287,48 218,45 440,,9 506,114 552,12 165,49 106,44 657,,8 624,115 028,13 100,50 260,43 907,,7 761,115 606,13 974,51 489,43 203,,6 940,116 730,15 019,54 394,41 264,,6 053,,,,,,,,,,,,,,,,,,,,,,,,
5,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Andorra,,,,,,,,,,,,,8 885,154,2 530,5 651,,550,9 083,183,2 824,5 604,,472,9 212,199,3 079,5 533,,401,9 175,234,3 249,5 376,,316,9 193,279,3 392,5 243,,279,9 196,327,3 547,5 091,,231,9 261,376,3 725,4 964,,196,9 360,428,3 977,4 783,,172,9 614,496,4 267,4 708,,143,9 956,573,4 649,4 601,,133,10 284,613,5 093,4 452,,126,10 832,709,5 648,4 357,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Antarctica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
