,cod_new,dsg_new,cod_old,dsg_old,Designação antiga,Observações (até 2013),Observações (após 2013),Concelho,Unnamed: 8,Unnamed: 9
0,010103,AGUADA DE CIMA,010103,AGUADA DE CIMA,,"VILA (L. 50/97, DE 12 JUL.)",,AGUEDA,,
1,010109,FERMENTELOS,010109,FERMENTELOS,,"VILA (DEC. 15456, DE 05 MAI. 1928)",,AGUEDA,,
2,010112,MACINHATA DO VOUGA,010112,MACINHATA DO VOUGA,,,,AGUEDA,,
3,010119,VALONGO DO VOUGA,010119,VALONGO DO VOUGA,,"VILA (L.65/2009, DE 06 AGO.)",,AGUEDA,,
4,010121,UNIÃO DAS FREGUESIAS DE ÁGUEDA E BORRALHA,010104,ÁGUEDA,,"EM 1986 DEU ORIGEM À FREG. DE BORRALHA (L. 25/86, DE 20 AGO.)",,AGUEDA,,
5,010121,UNIÃO DAS FREGUESIAS DE ÁGUEDA E BORRALHA,010120,BORRALHA,,"FREG. (L. 25/86, DE 20 AGO.); SAÍDA DA FREG. DE ÁGUEDA",,AGUEDA,,
6,010122,UNIÃO DAS FREGUESIAS DE BARRÔ E AGUADA DE BAIXO,010105,BARRÔ,,,,AGUEDA,,
7,010122,UNIÃO DAS FREGUESIAS DE BARRÔ E AGUADA DE BAIXO,010102,AGUADA DE BAIXO,,,,AGUEDA,,
8,010123,"UNIÃO DAS FREGUESIAS DE BELAZAIMA DO CHÃO, CASTANHEIRA DO VOUGA E AGADÃO",010101,AGADÃO,,,,AGUEDA,,
9,010123,"UNIÃO DAS FREGUESIAS DE BELAZAIMA DO CHÃO, CASTANHEIRA DO VOUGA E AGADÃO",010106,BELAZAIMA DO CHÃO,,,,AGUEDA,,
10,010123,"UNIÃO DAS FREGUESIAS DE BELAZAIMA DO CHÃO, CASTANHEIRA DO VOUGA E AGADÃO",010107,CASTANHEIRA DO VOUGA,,,,AGUEDA,,
11,010124,UNIÃO DAS FREGUESIAS DE RECARDÃES E ESPINHEL,010108,ESPINHEL,,,,AGUEDA,,
12,010124,UNIÃO DAS FREGUESIAS DE RECARDÃES E ESPINHEL,010115,RECARDÃES,,,,AGUEDA,,
13,010125,UNIÃO DAS FREGUESIAS DE TRAVASSÔ E ÓIS DA RIBEIRA,010113,ÓIS DA RIBEIRA,,,,AGUEDA,,
14,010125,UNIÃO DAS FREGUESIAS DE TRAVASSÔ E ÓIS DA RIBEIRA,010117,TRAVASSÔ,,,,AGUEDA,,
15,010126,"UNIÃO DAS FREGUESIAS DE TROFA, SEGADÃES E LAMAS DO VOUGA",010110,LAMAS DO VOUGA,,,,AGUEDA,,
16,010126,"UNIÃO DAS FREGUESIAS DE TROFA, SEGADÃES E LAMAS DO VOUGA",010116,SEGADÃES,,,,AGUEDA,,
17,010126,"UNIÃO DAS FREGUESIAS DE TROFA, SEGADÃES E LAMAS DO VOUGA",010118,TROFA,,,,AGUEDA,,
18,010127,UNIÃO DAS FREGUESIAS DO PRÉSTIMO E MACIEIRA DE ALCOBA,010111,MACIEIRA DE ALCOBA,,,,AGUEDA,,
19,010127,UNIÃO DAS FREGUESIAS DO PRÉSTIMO E MACIEIRA DE ALCOBA,010114,PRÉSTIMO,,,,AGUEDA,,
20,010202,ALQUERUBIM,010202,ALQUERUBIM,,,,ALBERGARIA-A-VELHA,,
21,010203,ANGEJA,010203,ANGEJA,,"VILA (L. 107/91, DE 16 DE AGO.)",,ALBERGARIA-A-VELHA,,
22,010204,BRANCA,010204,BRANCA,,"VILA (L. 48/89, DE 24 DE AGO.)",,ALBERGARIA-A-VELHA,,
23,010206,RIBEIRA DE FRÁGUAS,010206,RIBEIRA DE FRÁGUAS,,"CIDADE (L. 34/2011, DE 17 JUN.)",,ALBERGARIA-A-VELHA,,
24,010209,ALBERGARIA-A-VELHA E VALMAIOR,010201,ALBERGARIA-A-VELHA,,,,ALBERGARIA-A-VELHA,,
